;;;;;;;
1;13/10/2018;14/10/2018;14/09/2018;FERME;VILLEPARISIS;VILLEPARISIS;salle
2;20/10/2018;21/10/2018;14/09/2018;FERME;LE_PLESSIS_BELLEVILLE;LE PLESSIS BELLEVILLE;salle
3;;11/11/2018;10/10/2018;FERME;CAUDACIENNE;ENTENTE SPORTIVE CAUDACIENNE;salle
4;03/11/2018;04/11/2018;10/10/2018;FERME;VINCENNES;1ER CIE ARC VINCENNES;salle
5;10/11/2018;11/11/2018;11/10/2018;FERME;TORCY;LES ARCHERS DE TORCY;salle
6;10/11/2018;11/11/2018;12/10/2018;FERME;ARCHERS_DU_VERT_GALANT;ARCHERS DU VERT GALANT;salle
7;17/11/2018;18/11/2018;13/10/2018;FERME;OZOIR;LES ARCHERS D'OZOIR;salle
8;17/11/2018;18/11/2018;13/10/2018;FERME;CRETEIL;U.S.CRETEIL TIR A L'ARC;salle
9;24/11/2018;25/11/2018;25/10/2018;FERME;ST_GERMAIN;CIE D'ARC DE ST GERMAIN SUR MORIN;salle
10;01/12/2018;02/12/2018;26/10/2018;FERME;LE_PERREUX;ST GEORGES LE PERREUX;salle
11;08/12/2018;09/12/2018;27/10/2018;FERME;QUINCY_VOISINS;COMPAGNIE D'ARC DE QUINCY-VOISINS;salle
12;15/12/2018;16/12/2018;28/10/2018;FERME;ESBLY;CIE D'ARC D'ESBLY;salle
13;15/12/2018;16/12/2018;28/10/2018;FERME;GAGNY;COMPAGNIE D'ARC L'UNION;salle
14;05/01/2019;06/01/2019;01/11/2018;FERME;BONDY;TOURNOI INTERNATIONAL DE BONDY 2019;salle
15;12/01/2019;13/01/2019;13/12/2018;FERME;LAGNY;CIE D'ARC DE LAGNY;salle
16;12/01/2019;13/01/2019;13/12/2018;FERME;AULNAY;1ERE CIE D'ARC D'AULNAY SOUS BOIS (ch dép );
17;26/01/2019;27/01/2019;13/12/2018;FERME;ST_GERMAIN;CIE D'ARC DE ST GERMAIN SUR MORIN;
18;26/01/2019;27/01/2019;13/12/2018;FERME;ST_MAUR;CIE D ARC DE ST MAUR;
19;09/02/2019;10/02/2019;;qualif;BUSSY;LA DOUBLE DETENTE DE BUSSY ( ch régional ) ;
;;;;;;;
;;; ;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
