21;25/01/2020;26/01/2020;03/12/2019;FERME;TREMBLAY;TREMBLAY -Ch dep);SALLE;http://extranet.ffta.fr/medias/documents_epreuves/f0688b283bf94.pdf
22;01/02/2020;02/02/2020;04/12/2019;FERME;ERMONT;ERMONT (Fita salle);SALLE;http://www.tiralarcidf.com/content/document/5d774f5860322_MandatFITAsalle2020Ermont.pdf
23;01/02/2020;02/02/2020;;Qualif;BUSSY;BUSSY SAINT GEORGES (Regionale  jeunes);SALLE;http://www.tiralarcidf.com/content/document/5e0e55515e140_MandatCRJ2020.pdf
24;08/02/2020;09/02/2020;;Qualif;GUYANCOURT;GUYANCOURT  Ch,  RÉGIONAL ADULTE;SALLE;http://www.tiralarcidf.com/content/document/5e1846832235a_MandatCRAdultessalle2020-Guyancourt.pdf
25;21/02/2020;23/02/2020;;Qualif;VITTEL;VITTEL (Ch de France jeunes & adultes);SALLE;https://www.ffta.fr/sites/ffta/files/programme_france_salle_2020.pdf
;;;;;;;;
39;;;;;;;;
40;07/03/2020;08/03/2020;01/02/2020;FERME;NANTEUIL;NANTEUIL;Field;
41;14/03/2020;15/03/2020;02/02/2020;OUVERT;BETHISY;BETHISY;Field;https://www.arc-hauts-de-france.com/media/uploaded/sites/2727/kcupload/files/Comp%C3%A9titions/Campagne/Saison%202020/Bethisy%20Mandat%20Campagne%2014_15-3-20.pdf
42;21/03/2020;22/03/2020;03/02/2020;FERME;VIARMES;VIARMES;Field;
43;28/03/2020;29/03/2020;04/02/2020;FERME;PERLES;PERLES;Field;
44;04/04/2020;05/04/2020;04/02/2020;OUVERT;RETHONDES;RETHONDES;Field;https://www.arc-hauts-de-france.com/media/uploaded/sites/2727/kcupload/files/Comp%C3%A9titions/Campagne/Saison%202020/Rethondes%20Mandat%20Campagne%20chpt60%204_5-04-20.pdf
45;04/04/2020;05/04/2020;05/02/2020;OUVERT;MEAUX;MEAUX;Field;http://extranet.ffta.fr/medias/documents_epreuves/f1008b5648dd6.pdf
46;11/04/2020;12/04/2020;06/02/2020;FERME;MONTREUIL ;MONTREUIL Ch dep;Field;
47;11/04/2020;12/04/2020;07/02/2020;FERME;NOYON;NOYON;Field;
48;18/04/2020;19/04/2020;08/02/2020;FERME;ORSAY;ORSAY;Field;
49;25/04/2020;26/04/2020;09/02/2020;FERME;ARCHERIE_DES_GOTHS;ARCHERIE DES GOTHS;Field;
50;02/05/2020;03/05/2020; ;FERME;VERTUS;VERTUS;Field;
51;;10/05/2020;09/02/2020;FERME;VIVIERES;VIVIERES;Field;
52;;21/05/2020;10/02/2020;FERME;PERS_EN_GATINAIS;PERS EN GATINAIS (jeudi);Field;
53;;24/05/2020;11/02/2020;FERME;DRAVEIL;DRAVEIL;Field;
54;;07/06/2020; ;Qualif;DRAVEIL_ORME;LES ARCHERS DE L'ORME ( ch de ligue);Field;
55;20/06/2020;21/06/2020;20/05/2020;FERME;ABBEVILLE;CIE D'ARC D'ABBEVILLE;Field;
56;;21/06/2020;21/05/2020;FERME;NOGENT_LE_ROTROU;LES ARCHERS DU PERCHE;Field;
57;;28/06/2020; ;Qualif;VERTUS;VERTUS circuit 5 Nations;Field;
58;04/08/2020;07/08/2020;;Qualif;CHENOVE;CHENOVE (CH de France  individuel);Field;
59;08/08/2020;09/08/2020;;Qualif;CHENOVE;CHENOVE (CH de France  Elite);Field;
60;05/09/2020;06/09/2020; ;Qualif;NEUILLY SUR MARNE;Neuilly s/ Marne (Ch de France Equipes);Field;
61;;27/09/2020;15/08/2020;FERME;MEAUX;MEAUX;Field;
;;;;;;;;
69;;;;;;;;
70;11/04/2020;12/04/2020;12/03/2020;FERME;FONTAINEBLEAU;FONTAINEBLEAU;TAE;
71;18/04/2020;19/04/2020;13/03/2020;OUVERT;PANTIN;PANTIN;TAE;https://drive.google.com/file/d/1c9MXpALfPvfpDiJ53lqHePhW2swRGHJj/view?usp=sharing
72;25/04/2020;26/04/2020;12/03/2020;FERME;FONTAINEBLEAU;FONTAINEBLEAU;TAE;
73;02/05/2020;03/05/2020;14/03/2020;FERME;COUILLY;CIE DARC DE COUILLY;TAE;
74;09/05/2020;10/05/2020;15/03/2020;FERME;TORCY;TORCY;TAE;
75;16/05/2020;17/05/2020;15/03/2020;FERME;SAVIGNY_LE_TEMPLE;SAVIGNY LE TEMPLE;TAE;
76;22/05/2020;23/05/2020;16/04/2020;FERME;SURESNES;LES ARCHERS SURESNOIS;TAE;
77;;27/05/2020;17/04/2020;FERME;GERMAIN_SUR_MORIN;GERMAIN SUR MORIN;TAE;
78;06/06/2020;;18/04/2020;FERME;MONTREUIL1;CIE ARC MONTREUIL;TAE;
79;06/06/2020;07/06/2020;17/03/2020;FERME;GERMAIN_SUR_MORIN1;GERMAIN SUR MORIN;TAE;
80;13/06/2020;14/06/2020;14/05/2020;FERME;LAGNY;CIE D'ARC DE LAGNY;TAE;
81;20/06/2020;21/06/2020;14/05/2020;FERME;MONTMORENCY;MONTMORENCY;TAE;
82;24/06/2020;;17/03/2020;FERME;GERMAIN_SUR_MORIN2;GERMAIN SUR MORIN;TAE;
83;27/06/2020;28/06/2020;18/03/2020;Qualif;MAUREPAS;MAUREPAS (ch ligue);TAE;
84;04/07/2020;;;FERME;ESBLY;CIE ARC ESBLY ;TAE;
85;;05/07/2020;;Qualif;ESBLY1;CIE DARC ESBLY (ch ligue);TAE;
86;27/07/2020;28/07/2020;;Qualif;RIOM;RIOM (Ch France jeunes);TAE;
87;24/07/2020;25/07/2020;;Qualif;RIOM;RIOM (Ch France Elite);TAE;
88;31/07/2020;02/08/2020;;Qualif;RIOM;RIOM (Ch France individuel);TAE;
89;;;;;;;TAE;
;;;;; ;;;
;;;; ;;;;
